Breed,Fur Color,Height (in),Character Traits,Common Health Problems
Labrador Retriever,"Yellow, Black, Chocolate",21-24,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
German Shepherd,"Black, Tan",22-26,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Bulldog,"White, Red",12-16,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Poodle,"White, Black, Brown, Apricot",10-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Beagle,"White, Tan, Red, Lemon",13-15,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Chihuahua,"Black, Brown, Tan, White",6-9,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues"
Boxer,"Fawn, Brindle",21-25,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Golden Retriever,Golden,21-24,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Pug,"Fawn, Black",10-14,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Rottweiler,"Black, Tan",22-27,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Siberian Husky,"Black, White",21-24,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Dachshund,"Black, Tan",5-9,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Shih Tzu,"Black, White, Brown",9-10,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Bichon Frise,White,9-11,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Australian Shepherd,"Black, Red",18-23,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Basset Hound,"Black, Tan",11-15,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Cocker Spaniel,"Black, Brown",14-15,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
French Bulldog,"White, Black, Brindle",11-12,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Pomeranian,"Orange, Sable, Black",6-7,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Great Dane,"Black, Blue, Fawn, Harlequin",28-34,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Mastiff,"Apricot, Fawn",30-34,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Newfoundland,"Black, Brown, Grey",26-28,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Saint Bernard,"Red, White",26-30,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Old English Sheepdog,"Blue, Grey",22-26,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Irish Wolfhound,"Grey, Red, Black",30-35,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Greyhound,"Black, White, Brindle",26-30,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Scottish Deerhound,"Blue, Grey",28-32,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Great Pyrenees,White,25-32,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Shar Pei,"Cream, Fawn",18-20,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Doberman Pinscher,"Black, Red",24-28,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Weimaraner,"Silver, Grey",25-29,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Belgian Malinois,"Fawn, Mahogany",22-26,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Rhodesian Ridgeback,Light Wheaten,25-27,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
English Setter,"Black, White, Liver",23-27,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Pointer,"Black, White, Liver",21-27,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Gordon Setter,"Black, Tan",23-27,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Irish Setter,Red,24-28,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
